sku,parent_sku,post_title,post_excerpt,post_content,post_status,featured,downloadable,virtual,visibility,stock,stock_status,backorders,manage_stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,variation_description,upsell_skus,crosssell_skus,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,Images,downloadable_files,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_colour,attribute_data:pa_colour,meta:attribute_pa_colour,attribute:pa_size,attribute_data:pa_size,meta:attribute_pa_size,meta:custom_field
HOODIE-NINJA-SILHOUETTE,,Ninja Silhouette,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,30,,1,2,3,4,taxable,reduced-rate,,,T-SHIRT-NINJA-SILHOUETTE,,,,,https://mercantile.wordpress.org/product/wordpress-logo-black-zip-hoodie/,Buy on WordPress Swag Store,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_5_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_5_back.jpg,,external,exclude_from_catalog|exclude_from_search,Clothing|Clothing > Hoodies,,,,,,,,,
HOODIE-HAPPY-NINJA,,Happy Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,35,,1,2,3,4,taxable,reduced-rate,,,T-SHIRT-HAPPY-NINJA,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_4_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_4_back.jpg,,simple,exclude_from_catalog|exclude_from_search,Clothing|Clothing > Hoodies,,,,,,,,,
HOODIE-PATIENT-NINJA,,Patient Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,35,,1,2,3,4,taxable,reduced-rate,,,HOODIE-HAPPY-NINJA,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_3_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_3_back.jpg,,simple,exclude_from_catalog|exclude_from_search,Clothing|Clothing > Hoodies,,,,,,,,,
HOODIE-WOO-NINJA,,Woo Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,35,,1,2,3,4,taxable,reduced-rate,,,T-SHIRT-WOO-NINJA,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_2_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_2_back.jpg,,simple,exclude_from_catalog|exclude_from_search,Clothing|Clothing > Hoodies,,,,,,,,,
HOODIE-SHIP-YOUR-IDEA,,Ship Your Idea,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,30,,1,2,3,4,taxable,reduced-rate,,,T-SHIRT-SHIP-YOUR-IDEA,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_7_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_7_back.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_1_back.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_1_front.jpg,,variable,exclude_from_catalog|exclude_from_search,Clothing|Clothing > Hoodies,,,Black|Blue,0|1|1,,L|XL,0|1|1,,
HOODIE-SHIP-YOUR-IDEA-BLUE-XL,HOODIE-SHIP-YOUR-IDEA,"Ship Your Idea - Blue, L","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,35,30,1,2,3,4,taxable,reduced-rate,,,T-SHIRT-SHIP-YOUR-IDEA,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_1_front.jpg,,variation,,,,,,,Blue,,,L,
HOODIE-SHIP-YOUR-IDEA-BLACK-L,HOODIE-SHIP-YOUR-IDEA,"Ship Your Idea - Black, XL","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,35,,1,2,3,4,taxable,reduced-rate,,,T-SHIRT-SHIP-YOUR-IDEA,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_7_front.jpg,,variation,,,,,,,Black,,,XL,
T-SHIRT-HAPPY-NINJA,,Happy Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,18,,1,2,3,4,taxable,reduced-rate,,HOODIE-HAPPY-NINJA,T-SHIRT-WOO-NINJA|T-SHIRT-NINJA-SILHOUETTE,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_7_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_7_back.jpg,,simple,exclude_from_catalog|exclude_from_search,Clothing|Clothing > T-shirts,,,,,,,,,
T-SHIRT-WOO-NINJA,,Woo Ninja,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,20,,1,2,3,4,taxable,reduced-rate,,HOODIE-WOO-NINJA,T-SHIRT-HAPPY-NINJA|T-SHIRT-NINJA-SILHOUETTE,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_6_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_6_back.jpg,,simple,exclude_from_catalog|exclude_from_search,Clothing|Clothing > T-shirts,,,,,,,,,
T-SHIRT-NINJA-SILHOUETTE,,Ninja Silhouette,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,20,,1,2,3,4,taxable,reduced-rate,,HOODIE-NINJA-SILHOUETTE,T-SHIRT-WOO-NINJA|T-SHIRT-HAPPY-NINJA,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_5_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_5_back.jpg,,simple,exclude_from_catalog|exclude_from_search,Clothing|Clothing > T-shirts,,,,,,,,,
T-SHIRT-SHIP-YOUR-IDEA,,Ship Your Idea,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,20,,1,2,3,4,taxable,reduced-rate,,HOODIE-SHIP-YOUR-IDEA,,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_3_back.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_3_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_back.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_front1.jpg,,variable,exclude_from_catalog|exclude_from_search,Clothing|Clothing > T-shirts,,,Black|Green,0|1|1,,,,,
T-SHIRT-SHIP-YOUR-IDEA-GREEN,T-SHIRT-SHIP-YOUR-IDEA,Ship Your Idea - Green,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,20,,1,2,3,4,taxable,reduced-rate,,,,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_3_front.jpg,,variation,,,,,,,Green,,,,
T-SHIRT-SHIP-YOUR-IDEA-BLACK,T-SHIRT-SHIP-YOUR-IDEA,Ship Your Idea - Black,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,20,,1,2,3,4,taxable,reduced-rate,,,,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_front1.jpg,,variation,,,,,,,Black,,,,
T-SHIRT-PREMIUM-QUALITY,,Premium Quality,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,10,instock,no,yes,20,,1,2,3,4,taxable,reduced-rate,,,,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg,,simple,exclude_from_catalog|exclude_from_search,Clothing|Clothing > T-shirts,,,,,,,,,
T-SHIRT-WOO-LOGO,,Woo Logo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,,,visible,5,instock,no,yes,20,18,1,2,3,4,taxable,reduced-rate,,HOODIE-WOO-LOGO,,,,,,,,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_1_front.jpg|http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_1_back.jpg,,simple,exclude_from_catalog|exclude_from_search,Clothing|Clothing > T-shirts,,,,,,,,,
