title,level_id,description,excerpt,categories,locations,address_line_1,address_line_2,latitude,longitude,map_icon_file,phone,website,email,images
Houston Auto Show,1,"Curabitur felis velit, ultrices non dictum vitae, porttitor nec purus. Ut vel mattis lorem. Suspendisse consectetur velit ut dui interdum convallis. In hendrerit dapibus mattis. Donec id leo ante. In hac habitasse platea dictumst. Sed at lorem dolor, ut iaculis lectus. Nam iaculis massa quam, vel porta est. Nam iaculis quam sit amet velit fringilla consectetur. Praesent in leo ac metus tristique laoreet.",,Business Services>Automotive,United States>California>Los Angeles,16055 W Badillo str.,,34.086712,-117.931717,w2dc-fa-hand-o-up,(123) 123-4444,http://www.example.com>link text,example@example.com,car.jpeg
Avenue florist,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.","Nulla gravida commodo est, sed euismod augue dictum ac. Maecenas non libero ante. Suspendisse non tellus nisl, vitae sodales neque.","Business Services>Advertising, Marketing &amp; PR;Construction",United States>California>Chino,,,34.012234,-117.688942,w2dc-fa-hand-o-up,(123) 123-4444,http://www.example.com>link text,example@example.com,florist.jpg
Relax Inn motel,1,"Nam vehicula massa ac ipsum gravida eget viverra diam scelerisque. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Praesent sodales congue ligula, in iaculis magna ultricies vitae. Nulla ac dignissim est. Nam scelerisque turpis sit amet libero sagittis ac dictum eros pretium. Nullam rhoncus bibendum nisi, quis euismod odio congue et.",,"Business Services>Advertising, Marketing &amp; PR;Business Services;Construction;Restaurants/Food &amp; Dining>European Cuisine",United States>California>Beverly Hills,,,34.073620,-118.400352,w2dc-fa-bitcoin,(123) 123-4444,http://www.example.com>link text,example@example.com,hotel.jpg
Banking,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",Excerpt here,Finance,United States>California>Los Angeles,northeast los angeles,,34.105186,-118.217575,w2dc-fa-line-chart,(123) 124-4444,http://www.example.com>link text,example@example.com,banking.jpg
Summit Ski &#038; Cycle,1,"Phasellus eget felis eu ligula blandit pharetra id eget sapien. Ut sodales adipiscing magna, eget vestibulum dui hendrerit vel. Nulla quis lorem arcu, sed porttitor odio. Morbi rhoncus tristique eleifend. Sed sit amet magna et lorem tristique hendrerit.",,,United States>California>Beverly Hills,,,34.092388,-118.400703,w2dc-fa-flag-checkered,(123) 124-4444,http://www.example.com>link text,example@example.com,event.jpg
Budget Pro. Bikes,1,"Praesent id est quam, a hendrerit urna. Aenean ultricies, enim molestie convallis porttitor, ipsum neque tincidunt erat, vitae imperdiet enim velit sed urna. Maecenas odio lorem, fermentum at convallis et, rutrum et justo. In pretium luctus turpis, id porta dui iaculis eget.",,Sports clubs,United States>California>Los Angeles,2750 Colorado Blvd Ste 5,,34.142487,-118.225700,w2dc-fa-bicycle,(123) 124-4444,http://www.example.com>link text,example@example.com,bike.jpg
GSXR 1300 Hayabusa 2009,1,"Only 700 miles owned by 50 year old man. V&amp;H header and Yosh slip on, brand new Dunlop Q2's,"" OEM Tire come with it"". Helibars, absolutly perfect condition. Bike comes with rear seat hump.",,Sports clubs>Bykes,United States>California>Fresno,,,34.031811,-118.270187,w2dc-fa-motorcycle,(123) 123-4444,http://www.example.com>link text,example@example.com,bike2.jpg
Super Shopping in LA,1,Century City Mall is not a mall that I visit often because I live in the valley however it is one of my favorite places to shop in LA. I prefer Century City to the Grove because of its modern design. The food court has restaurants that you wouldn't normally find in other malls and the stores range from Macy's and Sephora to Louis Vuitton and Tiffany &amp; Co.,,"Business Services>Advertising, Marketing &amp; PR;Business Services>Automotive",United States>California>Los Angeles,,,34.051098,-118.117340,w2dc-fa-hand-o-up,(123) 123-4444,http://www.example.com>link text,example@example.com,LA.jpg
Business in LA,1,"Suspendisse vitae rutrum ante. Fusce vitae orci in ligula tempor viverra. Nunc in tristique lectus. Suspendisse euismod, dolor ac mollis cursus, mauris dui varius nunc, a faucibus turpis arcu interdum erat. Proin id gravida orci. Cras vel velit augue. Proin id auctor sem. In hendrerit bibendum ultricies. Ut sed ipsum enim, vitae iaculis dolor. Sed diam nulla, bibendum quis tincidunt id, accumsan in mi. Phasellus ultricies augue sit amet est aliquam blandit. Suspendisse eu lacus non enim imperdiet bibendum quis eu nulla. Morbi vitae sapien id urna dictum semper. Etiam placerat purus nec mauris mollis pharetra. Proin faucibus vehicula lacus, sed commodo odio interdum vitae. Quisque elementum pharetra rutrum.",Suspendisse vitae rutrum ante. Fusce vitae orci in ligula tempor viverra. Nunc in tristique lectus.,"Business Services>Advertising, Marketing &amp; PR",United States>California>Los Angeles,,,33.913307,-117.969025,w2dc-fa-bitcoin,(123) 123-4444,http://www.example.com>link text,example@example.com,business.jpg
Santa Clara Valley Medical Center,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,Health &amp; Medical>Blood Banks;Health &amp; Medical>Clinics;Health &amp; Medical;Health &amp; Medical>Healthcare Consultants;Health &amp; Medical>Healthcare Professionals;Health &amp; Medical>Medical Equipment &amp; Supplies;Health &amp; Medical>Medical Research Facilities;Health &amp; Medical>Nursing Care Facilities;Health &amp; Medical>Pharmacies &amp; Drug Stores,United States>California>Los Angeles,,,33.917307,-117.962025,w2dc-fa-hand-o-up,(223) 123-4444,http://www.example.com>link text,example@example.com,medical.jpg